transaction_id,datetime,date,year,month,year_month,year_quarter,store_id,store_name,district,store_lat,store_lon,customer_id,customer_gender,age_band,customer_segment,channel,payment_method,campaign,product_category,product_subcategory,quantity,unit_price_mur,discount_pct,gross_margin_pct,gross_sales_mur,net_sales_mur,cost_mur,gross_profit_mur,returned_flag,delivery_minutes,satisfaction_score,calc_net_sales,diff
T0021497,2024-01-01T23:11:57Z,2024-01-01,2024,1,2024-01,2024Q1,4,IslandMart Store 04,Pamplemousses,-20.097456163422862,57.57448002430312,986,Female,25-34,Returning,In-store,Card,None,Pharmacy,Personal Care,2,242.83,0,0.286,485.66,485.66,346.76,138.9,0,NA,4.1,485.66,0
T0021952,2024-01-02T00:55:51Z,2024-01-02,2024,1,2024-01,2024Q1,2,IslandMart Store 02,Moka,-20.190172770008743,57.47793486185042,1851,PreferNotSay,35-44,New,In-store,Cash,None,Pharmacy,OTC,2,176.47,0.026,0.264,352.94,343.76356,253.01,90.75,0,NA,3.4,343.76356,0.0035599999999931242
T0020961,2024-01-02T01:09:23Z,2024-01-02,2024,1,2024-01,2024Q1,5,IslandMart Store 05,Black River,-20.34485764110588,57.362613537186526,999,Female,35-44,Returning,Delivery,Card,None,Grocery,Dry,3,136.64,0.02,0.306,409.92,401.7216,278.79,122.93,0,75,3.6,401.7216,0.001599999999996271
T0005196,2024-01-02T01:37:28Z,2024-01-02,2024,1,2024-01,2024Q1,5,IslandMart Store 05,Black River,-20.34485764110588,57.362613537186526,2442,Male,55+,Returning,Online,Card,None,Grocery,Fresh,2,94.56,0.036,0.174,189.12,182.31168,150.59,31.72,0,30,NA,182.31168,0.0016799999999932425
T0022109,2024-01-02T02:11:56Z,2024-01-02,2024,1,2024-01,2024Q1,1,IslandMart Store 01,Pamplemousses,-20.12781205405367,57.56431166803455,991,Female,25-34,Returning,In-store,MobileMoney,None,Grocery,Beverages,1,82.51,0.024,0.238,82.51,80.52976000000001,61.36,19.17,1,NA,3.5,80.52976000000001,2.3999999999091415e-4
T0006139,2024-01-02T02:25:52Z,2024-01-02,2024,1,2024-01,2024Q1,10,IslandMart Store 10,Black River,-20.391351168727777,57.39401778902976,1954,Male,35-44,New,In-store,Card,None,Grocery,Snacks,3,50.07,0.06,0.246,150.21,141.1974,106.46,34.74,0,NA,4.8,141.1974,0.002600000000001046
T0005526,2024-01-02T02:28:48Z,2024-01-02,2024,1,2024-01,2024Q1,5,IslandMart Store 05,Black River,-20.34485764110588,57.362613537186526,980,Female,25-34,New,In-store,Cash,None,Pharmacy,OTC,3,240.32,0.018,0.23,720.96,707.98272,545.14,162.84,0,NA,4.3,707.98272,0.0027199999999538704
T0018355,2024-01-02T03:28:25Z,2024-01-02,2024,1,2024-01,2024Q1,10,IslandMart Store 10,Black River,-20.391351168727777,57.39401778902976,925,Male,35-44,New,Delivery,Card,None,Grocery,Snacks,3,92.46,0.011,0.151,277.38,274.32882,232.91,41.42,0,62,3.7,274.32882,0.0011799999999766442
T0006766,2024-01-02T03:54:29Z,2024-01-02,2024,1,2024-01,2024Q1,5,IslandMart Store 05,Black River,-20.34485764110588,57.362613537186526,1451,Male,25-34,Returning,In-store,Card,None,Home,Decor,3,306.85,0.045,0.223,920.55,879.1252499999999,683.08,196.05,0,NA,3.9,879.1252499999999,0.004750000000058208
T0010836,2024-01-02T04:18:33Z,2024-01-02,2024,1,2024-01,2024Q1,12,IslandMart Store 12,Plaines Wilhems,-20.28937462867736,57.45593342422749,2306,Male,35-44,New,In-store,Cash,None,Grocery,Beverages,1,83.31,0.035,0.163,83.31,80.39415,67.29,13.1,0,NA,3.8,80.39415,0.004149999999995657
T0020778,2024-01-02T05:48:49Z,2024-01-02,2024,1,2024-01,2024Q1,12,IslandMart Store 12,Plaines Wilhems,-20.28937462867736,57.45593342422749,199,Male,45-54,Returning,Online,BankTransfer,None,Grocery,Fresh,1,95.95,0.033,0.245,95.95,92.78365,70.05,22.73,0,28,3.6,92.78365,0.0036499999999932697
T0014866,2024-01-02T06:42:28Z,2024-01-02,2024,1,2024-01,2024Q1,8,IslandMart Store 08,Savanne,-20.483873453366627,57.53126940834703,1843,Female,55+,New,Online,Card,None,Grocery,Snacks,1,130.4,0.055,0.251,130.4,123.228,92.3,30.93,0,41,4,123.228,0.0020000000000095497
T0008285,2024-01-02T06:56:47Z,2024-01-02,2024,1,2024-01,2024Q1,11,IslandMart Store 11,Moka,-20.21829716408683,57.48904435100028,1961,Female,45-54,VIP,In-store,Card,None,Home,Cleaning,3,1090.84,0.041,0.259,3272.52,3138.3466799999997,2325.52,812.83,0,NA,4.9,3138.3466799999997,0.0033200000002580055
T0021413,2024-01-02T07:01:34Z,2024-01-02,2024,1,2024-01,2024Q1,4,IslandMart Store 04,Pamplemousses,-20.097456163422862,57.57448002430312,194,Male,35-44,Returning,In-store,Card,None,Grocery,Beverages,3,168.27,0.029,0.185,504.81,490.17051,399.49,90.68,0,NA,4.5,490.17051,5.09999999962929e-4
T0009535,2024-01-02T07:29:02Z,2024-01-02,2024,1,2024-01,2024Q1,6,IslandMart Store 06,Rivière du Rempart,-20.036536377811963,57.724947458671785,1596,Female,25-34,Returning,Online,Card,None,Grocery,Dry,3,62.58,0.029,0.222,187.74,182.29554000000002,141.83,40.47,0,9,NA,182.29554000000002,0.004459999999994579
T0005091,2024-01-02T08:24:41Z,2024-01-02,2024,1,2024-01,2024Q1,1,IslandMart Store 01,Pamplemousses,-20.12781205405367,57.56431166803455,2186,Female,55+,New,In-store,Card,None,Electronics,Accessories,1,6302.98,0.036,0.111,6302.98,6076.072719999999,5401.63,674.44,0,NA,3.4,6076.072719999999,0.002719999999499123
T0007810,2024-01-02T08:42:26Z,2024-01-02,2024,1,2024-01,2024Q1,5,IslandMart Store 05,Black River,-20.34485764110588,57.362613537186526,825,Female,45-54,Returning,In-store,Card,None,Grocery,Beverages,1,127.01,0.041,0.279,127.01,121.80259,87.82,33.98,0,NA,4.1,121.80259,0.0025899999999978718
T0020615,2024-01-02T09:18:54Z,2024-01-02,2024,1,2024-01,2024Q1,12,IslandMart Store 12,Plaines Wilhems,-20.28937462867736,57.45593342422749,668,Female,45-54,Returning,In-store,Cash,None,Home,Cleaning,2,653.74,0.016,0.239,1307.48,1286.56032,979.07,307.49,0,NA,3.5,1286.56032,3.2000000010157237e-4
T0015276,2024-01-02T09:33:02Z,2024-01-02,2024,1,2024-01,2024Q1,2,IslandMart Store 02,Moka,-20.190172770008743,57.47793486185042,1737,Male,18-24,New,Delivery,Card,None,Electronics,Mobile,1,4707.76,0.018,0.162,4707.76,4623.0203200000005,3874.09,748.93,0,48,3.3,4623.0203200000005,3.2000000010157237e-4
T0003773,2024-01-02T11:36:14Z,2024-01-02,2024,1,2024-01,2024Q1,1,IslandMart Store 01,Pamplemousses,-20.12781205405367,57.56431166803455,853,Female,45-54,VIP,Online,MobileMoney,None,Grocery,Dry,3,64.72,0.067,0.171,194.16,181.15128,150.17,30.98,0,34,4.8,181.15128,0.0012800000000083855
T0019646,2024-01-02T12:06:06Z,2024-01-02,2024,1,2024-01,2024Q1,11,IslandMart Store 11,Moka,-20.21829716408683,57.48904435100028,1365,Female,18-24,Returning,In-store,Card,None,Fashion,Women,1,488.19,0.009,0.332,488.19,483.79629,323.18,160.62,0,NA,4.3,483.79629,0.0037100000000123146
T0001164,2024-01-02T13:18:29Z,2024-01-02,2024,1,2024-01,2024Q1,1,IslandMart Store 01,Pamplemousses,-20.12781205405367,57.56431166803455,690,Female,25-34,New,In-store,Cash,None,Electronics,Mobile,1,5340.01,0.023,0.176,5340.01,5217.18977,4298.96,918.23,0,NA,4.5,5217.18977,2.299999996466795e-4
T0011939,2024-01-02T13:19:58Z,2024-01-02,2024,1,2024-01,2024Q1,12,IslandMart Store 12,Plaines Wilhems,-20.28937462867736,57.45593342422749,526,Female,35-44,New,In-store,Card,None,Grocery,Beverages,3,62.05,0,0.237,186.15,186.15,142.03,44.12,0,NA,4.2,186.15,0
T0013664,2024-01-02T13:46:01Z,2024-01-02,2024,1,2024-01,2024Q1,5,IslandMart Store 05,Black River,-20.34485764110588,57.362613537186526,1687,Male,18-24,Returning,In-store,Cash,None,Electronics,Accessories,1,3501,0.009,0.16,3501,3469.491,2914.37,555.12,0,NA,4.3,3469.491,0.0010000000002037268
T0022654,2024-01-02T14:56:34Z,2024-01-02,2024,1,2024-01,2024Q1,10,IslandMart Store 10,Black River,-20.391351168727777,57.39401778902976,1423,PreferNotSay,25-34,New,In-store,Card,None,Home,Decor,1,499.09,0.059,0.189,499.09,469.64369,380.88,88.76,0,NA,4.4,469.64369,0.0036900000000059663
T0014607,2024-01-02T16:43:52Z,2024-01-02,2024,1,2024-01,2024Q1,2,IslandMart Store 02,Moka,-20.190172770008743,57.47793486185042,2333,Female,45-54,VIP,In-store,MobileMoney,None,Baby,Care,2,1052.77,0.046,0.184,2105.54,2008.6851599999998,1639.09,369.6,0,NA,4.1,2008.6851599999998,0.004840000000285727
T0020555,2024-01-02T16:57:56Z,2024-01-02,2024,1,2024-01,2024Q1,3,IslandMart Store 03,Plaines Wilhems,-20.283854671551527,57.490571303838465,2039,Female,25-34,New,In-store,Cash,None,Grocery,Dry,2,71.54,0.042,0.245,143.08,137.07064,103.49,33.58,0,NA,4.7,137.07064,6.400000000041928e-4
T0006552,2024-01-02T17:09:17Z,2024-01-02,2024,1,2024-01,2024Q1,7,IslandMart Store 07,Black River,-20.37842230013073,57.37749390052148,219,Female,45-54,Returning,In-store,Cash,None,Grocery,Dry,3,107.44,0.024,0.173,322.32,314.58432,260.16,54.42,0,NA,4.4,314.58432,0.004320000000006985
T0011003,2024-01-02T18:46:28Z,2024-01-02,2024,1,2024-01,2024Q1,5,IslandMart Store 05,Black River,-20.34485764110588,57.362613537186526,297,Male,18-24,Returning,In-store,Cash,None,Grocery,Dry,1,78.45,0.031,0.197,78.45,76.01805,61.04,14.98,0,NA,4.4,76.01805,0.001949999999993679
T0016191,2024-01-02T19:21:38Z,2024-01-02,2024,1,2024-01,2024Q1,4,IslandMart Store 04,Pamplemousses,-20.097456163422862,57.57448002430312,2469,Male,55+,New,In-store,Card,None,Home,Decor,1,892.69,0.049,0.249,892.69,848.9481900000001,637.56,211.39,0,NA,3.9,848.9481900000001,0.0018099999999776628
T0023710,2024-01-02T19:28:16Z,2024-01-02,2024,1,2024-01,2024Q1,5,IslandMart Store 05,Black River,-20.34485764110588,57.362613537186526,1539,Female,45-54,Returning,In-store,Card,None,Beauty,Fragrance,2,413.52,0.032,0.28,827.04,800.57472,576.41,224.16,0,NA,3.7,800.57472,0.004719999999906577
T0008149,2024-01-02T19:31:34Z,2024-01-02,2024,1,2024-01,2024Q1,6,IslandMart Store 06,Rivière du Rempart,-20.036536377811963,57.724947458671785,1413,Female,35-44,New,In-store,Card,None,Beauty,Makeup,1,577.1,0.045,0.347,577.1,551.1305,359.89,191.24,0,NA,3.4,551.1305,4.999999999881766e-4
T0012824,2024-01-02T21:21:26Z,2024-01-02,2024,1,2024-01,2024Q1,4,IslandMart Store 04,Pamplemousses,-20.097456163422862,57.57448002430312,1668,Female,45-54,New,In-store,MobileMoney,None,Grocery,Beverages,1,130.32,0.015,0.261,130.32,128.3652,94.87,33.5,0,NA,4,128.3652,0.004800000000017235
T0022465,2024-01-02T22:35:11Z,2024-01-02,2024,1,2024-01,2024Q1,5,IslandMart Store 05,Black River,-20.34485764110588,57.362613537186526,1901,Female,25-34,Returning,In-store,MobileMoney,None,Grocery,Fresh,3,44.09,0.004,0.2,132.27,131.74092000000002,105.39,26.35,0,NA,NA,131.74092000000002,9.200000000078035e-4
T0005508,2024-01-02T22:38:52Z,2024-01-02,2024,1,2024-01,2024Q1,3,IslandMart Store 03,Plaines Wilhems,-20.283854671551527,57.490571303838465,1568,Female,35-44,New,Online,Card,None,Fashion,Footwear,2,611.94,0.025,0.287,1223.88,1193.2830000000001,850.81,342.47,0,9,3.9,1193.2830000000001,0.003000000000156433
T0012883,2024-01-02T23:01:15Z,2024-01-02,2024,1,2024-01,2024Q1,1,IslandMart Store 01,Pamplemousses,-20.12781205405367,57.56431166803455,361,Female,18-24,Returning,In-store,Cash,None,Electronics,Accessories,1,5613.09,0.022,0.147,5613.09,5489.60202,4682.63,806.97,0,NA,4.1,5489.60202,0.002019999999902211
T0009054,2024-01-03T00:15:03Z,2024-01-03,2024,1,2024-01,2024Q1,11,IslandMart Store 11,Moka,-20.21829716408683,57.48904435100028,833,Male,25-34,Returning,In-store,Cash,None,Baby,Formula,2,467.72,0.032,0.202,935.44,905.5059200000001,722.6,182.91,0,NA,4.5,905.5059200000001,0.004079999999930806
T0000227,2024-01-03T00:15:35Z,2024-01-03,2024,1,2024-01,2024Q1,1,IslandMart Store 01,Pamplemousses,-20.12781205405367,57.56431166803455,1504,Female,35-44,Returning,In-store,Card,None,Grocery,Beverages,2,54.75,0.01,0.216,109.5,108.405,84.99,23.41,0,NA,3.6,108.405,0.0049999999999954525
T0007505,2024-01-03T01:43:00Z,2024-01-03,2024,1,2024-01,2024Q1,1,IslandMart Store 01,Pamplemousses,-20.12781205405367,57.56431166803455,1083,Female,25-34,Returning,Online,Card,None,Grocery,Dry,1,92.26,0.019,0.206,92.26,90.50706000000001,71.86,18.65,0,29,NA,90.50706000000001,0.0029399999999952797
T0009603,2024-01-03T01:49:40Z,2024-01-03,2024,1,2024-01,2024Q1,1,IslandMart Store 01,Pamplemousses,-20.12781205405367,57.56431166803455,949,Male,55+,New,In-store,Cash,None,Grocery,Dry,3,93.09,0.025,0.276,279.27,272.28824999999995,197.14,75.15,0,NA,3.8,272.28824999999995,0.0017500000000723048
T0016284,2024-01-03T02:27:28Z,2024-01-03,2024,1,2024-01,2024Q1,5,IslandMart Store 05,Black River,-20.34485764110588,57.362613537186526,1070,Female,35-44,New,In-store,Card,None,Fashion,Men,1,934.61,0.022,0.324,934.61,914.04858,617.9,296.15,0,NA,4.6,914.04858,0.0014199999999391366
T0013237,2024-01-03T02:27:28Z,2024-01-03,2024,1,2024-01,2024Q1,10,IslandMart Store 10,Black River,-20.391351168727777,57.39401778902976,1542,Female,25-34,VIP,In-store,MobileMoney,None,Grocery,Dry,3,71.89,0.074,0.207,215.67,199.71042,158.37,41.34,0,NA,4.6,199.71042,4.199999999912052e-4
T0008389,2024-01-03T02:46:20Z,2024-01-03,2024,1,2024-01,2024Q1,9,IslandMart Store 09,Port Louis,-20.158312740003655,57.47250944285822,176,Female,55+,New,Online,Card,None,Home,Decor,2,567.3,0.05,0.229,1134.6,1077.87,831.04,246.83,0,23,3.7,1077.87,0
T0010059,2024-01-03T03:09:28Z,2024-01-03,2024,1,2024-01,2024Q1,10,IslandMart Store 10,Black River,-20.391351168727777,57.39401778902976,461,Male,45-54,Returning,In-store,Card,None,Grocery,Fresh,3,100.48,0.004,0.25,301.44,300.23424,225.17,75.06,1,NA,4.2,300.23424,0.004239999999981592
T0012552,2024-01-03T03:29:35Z,2024-01-03,2024,1,2024-01,2024Q1,8,IslandMart Store 08,Savanne,-20.483873453366627,57.53126940834703,2383,Female,25-34,Returning,In-store,Cash,None,Pharmacy,Wellness,3,287.18,0.048,0.274,861.54,820.18608,595.46,224.73,0,NA,NA,820.18608,0.003920000000107393
T0008675,2024-01-03T04:21:39Z,2024-01-03,2024,1,2024-01,2024Q1,8,IslandMart Store 08,Savanne,-20.483873453366627,57.53126940834703,2399,Male,55+,Returning,Delivery,Cash,None,Grocery,Fresh,4,52.63,0.021,0.231,210.52,206.09908000000001,158.49,47.61,0,42,4,206.09908000000001,9.199999999793818e-4
T0023363,2024-01-03T04:39:40Z,2024-01-03,2024,1,2024-01,2024Q1,3,IslandMart Store 03,Plaines Wilhems,-20.283854671551527,57.490571303838465,616,Female,35-44,VIP,In-store,Cash,None,Pharmacy,OTC,2,251.81,0.069,0.26,503.62,468.87022,346.96,121.91,0,NA,4.2,468.87022,2.2000000001298758e-4
T0009685,2024-01-03T05:12:03Z,2024-01-03,2024,1,2024-01,2024Q1,8,IslandMart Store 08,Savanne,-20.483873453366627,57.53126940834703,1734,Female,18-24,Returning,In-store,Cash,None,Grocery,Beverages,1,122.01,0.004,0.175,122.01,121.52196000000001,100.25,21.27,0,NA,3.6,121.52196000000001,0.001960000000011064
T0021747,2024-01-03T06:02:09Z,2024-01-03,2024,1,2024-01,2024Q1,3,IslandMart Store 03,Plaines Wilhems,-20.283854671551527,57.490571303838465,2201,Female,35-44,Returning,In-store,Card,None,Pharmacy,Wellness,2,362.24,0.027,0.259,724.48,704.91904,522.35,182.57,0,NA,3.9,704.91904,9.599999999636566e-4
T0004439,2024-01-03T06:56:04Z,2024-01-03,2024,1,2024-01,2024Q1,1,IslandMart Store 01,Pamplemousses,-20.12781205405367,57.56431166803455,2413,PreferNotSay,55+,Returning,In-store,Cash,None,Grocery,Snacks,3,102.16,0.038,0.226,306.48,294.83376,228.2,66.63,0,NA,3.1,294.83376,0.0037599999999997635
T0019754,2024-01-03T08:12:14Z,2024-01-03,2024,1,2024-01,2024Q1,8,IslandMart Store 08,Savanne,-20.483873453366627,57.53126940834703,14,Female,25-34,VIP,In-store,Cash,None,Fashion,Women,3,963.87,0.07,0.345,2891.61,2689.1973,1761.43,927.77,0,NA,4.6,2689.1973,0.0027000000000043656
T0007806,2024-01-03T08:21:19Z,2024-01-03,2024,1,2024-01,2024Q1,1,IslandMart Store 01,Pamplemousses,-20.12781205405367,57.56431166803455,1805,Female,55+,Returning,In-store,Cash,None,Baby,Diapers,3,718.24,0.001,0.208,2154.72,2152.56528,1704.84,447.73,0,NA,4.2,2152.56528,0.004720000000361324
T0012839,2024-01-03T08:40:41Z,2024-01-03,2024,1,2024-01,2024Q1,10,IslandMart Store 10,Black River,-20.391351168727777,57.39401778902976,707,Female,35-44,Returning,Delivery,BankTransfer,None,Electronics,Appliances,1,3633.48,0.045,0.184,3633.48,3469.9734,2831.5,638.47,0,51,5,3469.9734,0.003400000000056025
T0005405,2024-01-03T10:31:04Z,2024-01-03,2024,1,2024-01,2024Q1,5,IslandMart Store 05,Black River,-20.34485764110588,57.362613537186526,2190,Female,45-54,Returning,Online,Card,None,Pharmacy,Personal Care,1,250.65,0.039,0.274,250.65,240.87465,174.87,66,0,34,3.9,240.87465,0.004649999999998045
T0005635,2024-01-03T11:45:56Z,2024-01-03,2024,1,2024-01,2024Q1,10,IslandMart Store 10,Black River,-20.391351168727777,57.39401778902976,1768,Male,45-54,Returning,In-store,Cash,None,Fashion,Men,1,1497.36,0.038,0.36,1497.36,1440.46032,921.89,518.57,0,NA,4.4,1440.46032,3.199999998741987e-4
